username,time,msg,gift,num
SATURN,2021-02-05 20:38:31,今天不播了吗,,
七七,2021-02-05 20:38:43,今天休息,,
七七,2021-02-05 20:38:55,只有重播,,
『F.A.…,2021-02-05 20:39:16,,虎粮,20
蛋蛋,2021-02-05 20:39:28,,虎粮,10
东镇刘德华,2021-02-05 20:39:29,,虎粮,10
闷闷,2021-02-05 20:40:07,,虎粮,30
丢了个丢丢,2021-02-05 20:40:14,牧羊骡呢？,,
别无所谓,2021-02-05 20:40:26,,虎粮,20
闷闷,2021-02-05 20:40:39,,虎粮,10
`烟`嘴`,2021-02-05 20:41:16,"这已经不是日常迟到的问题了,这是日常旷工啊",,
啊马,2021-02-05 20:41:26,,虎粮,30
我是一颗小虎牙,2021-02-05 20:41:45,wo gan,,
衡山派后学…,2021-02-05 20:41:49,,虎粮,1
我是一颗小虎牙,2021-02-05 20:41:49,老骚今刚埋了。,,
衡山派后学…,2021-02-05 20:41:52,,虎粮,1
夜幕尔相依…,2021-02-05 20:41:52,,虎粮,10
我是一颗小虎牙,2021-02-05 20:41:54,我刚看明白这个房间号。。。。,,
夜幕尔相依…,2021-02-05 20:41:57,,虎粮,10
衡山派后学…,2021-02-05 20:41:57,,虎粮,1
林荫下的石…,2021-02-05 20:42:28,,虎粮,10
林荫下的石…,2021-02-05 20:42:34,,虎粮,10
我是过路的,2021-02-05 20:42:53,,虎粮,10
我是过路的,2021-02-05 20:42:56,,虎粮,10
骚粉1号,2021-02-05 20:43:12,,虎粮,30
骚粉1号,2021-02-05 20:43:12,,虎粮,10
骚粉1号,2021-02-05 20:43:15,,虎粮,1
骚粉1号,2021-02-05 20:43:19,,虎粮,1
暗夜pz,2021-02-05 20:43:22,,虎粮,1
小浣熊,2021-02-05 20:43:22,,虎粮,10
暗夜pz,2021-02-05 20:43:25,,虎粮,1
小浣熊,2021-02-05 20:43:26,,虎粮,10
暗夜pz,2021-02-05 20:43:29,,虎粮,1
暗夜pz,2021-02-05 20:43:33,,虎粮,1
搬砖的浪人,2021-02-05 20:44:12,,虎粮,10
搬砖的浪人,2021-02-05 20:44:16,,虎粮,10
搬砖的浪人,2021-02-05 20:44:16,,虎粮,1
一二没三,2021-02-05 20:44:36,,虎粮,30
我懒得打,2021-02-05 20:45:01,,虎粮,22
CAM疯-…,2021-02-05 20:45:49,,虎粮,10
奔波儿灞,2021-02-05 20:46:16,,虎粮,35
心飞扬,2021-02-05 20:46:21,,虎粮,30
心飞扬,2021-02-05 20:46:21,,虎粮,10
心飞扬,2021-02-05 20:46:25,,虎粮,10
走走停停灬,2021-02-05 20:47:11,,虎粮,300
、、杰少、…,2021-02-05 20:47:30,,虎粮,67
宋一血先森,2021-02-05 20:48:10,旷工啊,,
宋一血先森,2021-02-05 20:48:20,臭不要脸的,,
小枢枢,2021-02-05 20:49:12,,虎粮,1
前生旧梦,2021-02-05 20:49:27,,虎粮,1
前生旧梦,2021-02-05 20:49:32,,虎粮,10
前生旧梦,2021-02-05 20:49:38,,虎粮,10
上网来,2021-02-05 20:50:04,,虎粮,30
茗熙君,2021-02-05 20:51:04,,虎粮,10
失忆是一个…,2021-02-05 20:51:05,,虎粮,30
失忆是一个…,2021-02-05 20:51:05,,虎粮,10
失忆是一个…,2021-02-05 20:51:11,,虎粮,10
失忆是一个…,2021-02-05 20:51:11,,虎粮,1
白沙无影,2021-02-05 20:51:17,,虎粮,10
白沙无影,2021-02-05 20:51:23,,虎粮,10
白沙无影,2021-02-05 20:51:31,先上香,,
一直狠丶淡定,2021-02-05 20:51:58,有不来,,
会飞de渔,2021-02-05 20:52:06,,虎粮,1
聪前,2021-02-05 20:52:06,,虎粮,10
巴伐利亚啤…,2021-02-05 20:52:07,,虎粮,30
一直狠丶淡…,2021-02-05 20:52:07,,虎粮,30
草原翱翔,2021-02-05 20:52:07,,虎粮,30
会飞de渔,2021-02-05 20:52:07,,虎粮,1
一直狠丶淡…,2021-02-05 20:52:07,,虎粮,30
会飞de渔,2021-02-05 20:52:16,,虎粮,1
靑,2021-02-05 20:52:25,,虎粮,1
人就是江湖,2021-02-05 20:52:43,,虎粮,25
