username,time,msg,gift,num
Sirius Orion Black,2021-02-20 00:11:32,6,,
心若止水,2021-02-20 00:11:32,666666666,,
CAM疯-子,2021-02-20 00:11:33,哈哈哈哈哈哈哈,,
梦→醒,2021-02-20 00:11:33,666666,,
老玉米,2021-02-20 00:11:35,666666666666666,,
叶子太水,2021-02-20 00:11:38,尽力了,,
Fire-Crying,2021-02-20 00:11:38,牛逼,,
哇卡哇咔咔,2021-02-20 00:11:44,抗40000,,
淡淡de浅唱,2021-02-20 00:11:45,92,,
zhy,2021-02-20 00:11:45,玩的不错了,,
阿狼,2021-02-20 00:11:53,,虎粮,10
神马型坦克,2021-02-20 00:11:55,666666,,
磊哥,2021-02-20 00:11:55,,虎粮,1
海啸,2021-02-20 00:11:55,很强了,,
白衬衫的少年,2021-02-20 00:11:57,666,,
急冻人,2021-02-20 00:11:59,虽然输了，但确实打得好,,
LT88,2021-02-20 00:12:01,,虎粮,30
Sirius Orion Black,2021-02-20 00:12:03,277不打金币弹,,
辉 哥,2021-02-20 00:12:06,加班吗？,,
together,2021-02-20 00:12:06,不打183有机会打赢的,,
我是一颗小虎牙,2021-02-20 00:12:06,尽力了,,
九伴安于现…,2021-02-20 00:12:08,,虎粮,10
九五二七,2021-02-20 00:12:11,哪来的机会赢,,
糖老丫真的没有糖,2021-02-20 00:12:16,不打183有机会？？？你是眼瞎？？,,
小宝,2021-02-20 00:12:18,,虎粮,10
带岭该的小青年,2021-02-20 00:12:21,打到一点就下吧,,
小酒桌,2021-02-20 00:12:24,这局又开始敞亮,,
我就是我,2021-02-20 00:12:24,左边一个大嘴巴，右边一个大嘴巴。,,
,2021-02-20 00:12:27,,,
,2021-02-20 00:12:30,,虎粮,
,2021-02-20 00:12:30,,,
,2021-02-20 00:12:30,,虎粮,
,2021-02-20 00:12:30,,,
,2021-02-20 00:12:31,,,
,2021-02-20 00:12:31,,,
,2021-02-20 00:12:31,,,
,2021-02-20 00:12:31,,,
,2021-02-20 00:12:31,,虎粮,
碎岳,2021-02-20 00:12:31,火山这个重车玩的真是没毛病,,
together,2021-02-20 00:12:31,那发183不打，先打277说不准能打过,,
倒数叁贰壹,2021-02-20 00:12:31,277这个车怎么样？,,
冷心为王,2021-02-20 00:12:31,我玩八级老鼠抗了9000多。。。。,,
MIG-双,2021-02-20 00:12:31,今天不出环不下,,
、,2021-02-20 00:12:32,,虎粮,30
90121…,2021-02-20 00:12:36,,虎粮,32
,2021-02-20 00:12:40,,,
,2021-02-20 00:12:40,,虎粮,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:45,,虎粮,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:45,,,
,2021-02-20 00:12:46,,,
,2021-02-20 00:12:46,,,
笑多会腻a,2021-02-20 00:12:46,八点,,
身穿背带裤…,2021-02-20 00:12:46,,虎粮,10
,2021-02-20 00:12:51,,,
,2021-02-20 00:12:51,,虎粮,
,2021-02-20 00:12:52,,虎粮,
,2021-02-20 00:12:52,,虎粮,
,2021-02-20 00:12:52,,,
,2021-02-20 00:12:52,,虎粮,
,2021-02-20 00:12:52,,虎粮,
,2021-02-20 00:12:52,,,
CCTV-…,2021-02-20 00:12:52,,虎粮,10
Mini-婷宝,2021-02-20 00:12:52,玩到二点,,
CCTV-…,2021-02-20 00:12:53,,虎粮,10
,2021-02-20 00:12:59,,,
,2021-02-20 00:12:59,,虎粮,
,2021-02-20 00:12:59,,,
,2021-02-20 00:12:59,,虎粮,
,2021-02-20 00:12:59,,虎粮,
,2021-02-20 00:12:59,,虎粮,
,2021-02-20 00:13:07,,虎粮,
,2021-02-20 00:13:07,,,
,2021-02-20 00:13:07,,虎粮,
,2021-02-20 00:13:07,,虎粮,
,2021-02-20 00:13:07,,虎粮,
,2021-02-20 00:13:08,,虎粮,
,2021-02-20 00:13:08,,,
,2021-02-20 00:13:14,,,
,2021-02-20 00:13:14,,,
,2021-02-20 00:13:15,,,
,2021-02-20 00:13:15,,虎粮,
,2021-02-20 00:13:15,,虎粮,
,2021-02-20 00:13:15,,虎粮,
,2021-02-20 00:13:15,,虎粮,
,2021-02-20 00:13:15,,虎粮,
华东战神俱乐部,2021-02-20 00:13:15,刚四是升级的罡气吗?,,
MIG-双,2021-02-20 00:13:16,咋没打广告,,
,2021-02-20 00:13:23,,虎粮,
,2021-02-20 00:13:23,,虎粮,
我们都是好…,2021-02-20 00:13:23,,虎粮,1
CCTV-…,2021-02-20 00:13:23,,虎粮,1
ㄣ拥抱、熟悉的,2021-02-20 00:13:23,昨天看到最后的有几个哦,,
,2021-02-20 00:13:30,,虎粮,
,2021-02-20 00:13:31,,虎粮,
,2021-02-20 00:13:31,,虎粮,
,2021-02-20 00:13:31,,虎粮,
,2021-02-20 00:13:39,,虎粮,
