County,HospitalID,MedicareFr,RPR,RER,r,R,r/R-1,actual penalty,current revenue
Alameda,50002,0.385419786,24.12612724,22.50570107,0.241,0.225,0.072,0.03,1.303
Humboldt,50006,0.463131309,16.19304466,19.0582695,0.162,0.191,-0.15,0,1.193
San Mateo,50007,0.302268535,20.86240959,20.75056648,0.209,0.208,0.005,0.005,1.262
Napa,50009,0.430666357,20.50732994,22.00700188,0.205,0.22,-0.068,0,1.258
Napa,50013,0.487893879,20.13936424,21.88141823,0.201,0.219,-0.08,0,1.252
San Luis Obispo,50016,0.446989,19.72312164,19.85144424,0.197,0.199,-0.006,0,1.246
Sacramento,50017,0.314864933,19.06973076,19.54397774,0.191,0.195,-0.024,0,1.236
Los Angeles,50018,0.302416861,24.0746479,24.11408424,0.241,0.241,-0.002,0,1.317
Riverside,50022,0.272430152,21.80994606,22.24014282,0.218,0.222,-0.019,0,1.279
San Diego,50024,0.498078972,24.79219055,24.78895187,0.248,0.248,0,0,1.33
San Diego,50025,0.269369006,21.80242348,21.34553528,0.218,0.213,0.021,0.021,1.271
San Diego,50026,0.318517298,22.31032562,21.22644997,0.223,0.212,0.051,0.03,1.275
Butte,50030,0.465451062,25.16347885,22.42000008,0.252,0.224,0.122,0.03,1.318
Kern,50036,0.271959424,24.18901443,22.35692787,0.242,0.224,0.082,0.03,1.308
Santa Clara,50038,0.158172712,19.35380363,20.51304436,0.194,0.205,-0.057,0,1.24
Butte,50039,0.508084655,20.35890198,19.88334465,0.204,0.199,0.024,0.024,1.24
Tehama,50042,0.402002603,18.73262405,20.10590935,0.187,0.201,-0.068,0,1.231
Alameda,50043,0.406942248,21.75707054,21.04395294,0.218,0.21,0.034,0.03,1.262
Imperial,50045,0.395451248,20.01159477,20.66972542,0.2,0.207,-0.032,0,1.25
San Francisco,50047,0.290584177,21.28008842,20.60825157,0.213,0.206,0.033,0.03,1.259
Riverside,50054,0.271050125,20.46834373,20.56745529,0.205,0.206,-0.005,0,1.257
Los Angeles,50056,0.252544492,22.64663124,21.78941154,0.226,0.218,0.039,0.03,1.283
Tulare,50057,0.421160877,19.2850647,20.46676064,0.193,0.205,-0.058,0,1.239
Los Angeles,50058,0.416516513,24.03595161,22.8064785,0.24,0.228,0.054,0.03,1.3
Fresno,50060,0.249826267,24.49148941,21.50851059,0.245,0.215,0.139,0.03,1.314
Los Angeles,50063,0.341819972,24.99070358,23.76457214,0.25,0.238,0.052,0.03,1.319
Orange,50069,0.292636663,19.59557915,21.81138039,0.196,0.218,-0.102,0,1.244
San Diego,50077,0.29593572,21.82819557,21.82305717,0.218,0.218,0,0,1.279
Contra Costa,50079,0.399196953,21.78268433,22.15324783,0.218,0.222,-0.017,0,1.278
Ventura,50082,0.406233639,22.62368965,22.4670887,0.226,0.225,0.007,0.007,1.289
San Joaquin,50084,0.422020942,20.66041756,20.87979698,0.207,0.209,-0.011,0,1.26
San Bernardino,50099,0.262537867,20.69333267,22.31253242,0.207,0.223,-0.073,0,1.261
San Diego,50100,0.224275693,20.38943672,20.16795731,0.204,0.202,0.011,0.011,1.253
Solano,50101,0.286203623,20.48999977,21.7170372,0.205,0.217,-0.057,0,1.258
Riverside,50102,0.219333693,23.96460724,23.24438286,0.24,0.232,0.031,0.03,1.307
Los Angeles,50103,0.282180071,24.15029716,23.66696548,0.242,0.237,0.02,0.02,1.311
Los Angeles,50104,0.205811128,23.50403214,24.67419434,0.235,0.247,-0.047,0,1.307
Santa Barbara,50107,0.350217789,20.42797661,21.40581703,0.204,0.214,-0.046,0,1.257
Sacramento,50108,0.268567294,19.43604851,20.87322807,0.194,0.209,-0.069,0,1.241
Los Angeles,50111,0.490126163,25.04203987,24.27673531,0.25,0.243,0.032,0.03,1.314
Los Angeles,50112,0.353245974,23.14731026,22.2846241,0.231,0.223,0.039,0.03,1.287
San Diego,50115,0.259773612,18.81009293,19.89357758,0.188,0.199,-0.054,0,1.232
Los Angeles,50116,0.302198976,23.1979351,23.12418938,0.232,0.231,0.003,0.003,1.301
San Joaquin,50118,0.415970773,24.93333244,21.70776176,0.249,0.217,0.149,0.03,1.316
San Joaquin,50122,0.258238912,22.56590843,21.3647728,0.226,0.214,0.056,0.03,1.281
Los Angeles,50124,0.37695244,20.58815765,21.19013214,0.206,0.212,-0.028,0,1.259
Santa Clara,50125,0.436313987,21.35122871,21.12485695,0.214,0.211,0.011,0.011,1.266
Los Angeles,50126,0.304947197,23.69467545,23.22766113,0.237,0.232,0.02,0.02,1.302
Yolo,50127,0.242130712,18.68382454,20.13921547,0.187,0.201,-0.072,0,1.23
San Diego,50128,0.327523082,16.9060154,19.7754612,0.169,0.198,-0.145,0,1.203
San Bernardino,50129,0.222024903,20.89078712,21.12918854,0.209,0.211,-0.011,0,1.264
Marin,50131,0.51251471,19.7957077,21.24549294,0.198,0.212,-0.068,0,1.247
Los Angeles,50132,0.408308893,24.84549332,22.92991829,0.248,0.229,0.084,0.03,1.314
Yuba,50133,0.480233073,20.04494286,20.55345726,0.2,0.206,-0.025,0,1.251
Sonoma,50136,0.41088289,20.50183105,21.35606384,0.205,0.214,-0.04,0,1.258
Monterey,50145,0.515412331,17.24172211,19.33135414,0.172,0.193,-0.108,0,1.208
Nevada,50150,0.549380958,22.25294876,21.03310966,0.223,0.21,0.058,0.03,1.265
Santa Clara,50153,0.398035556,21.31778908,21.05327988,0.213,0.211,0.013,0.013,1.265
Los Angeles,50158,0.601114273,25.91125488,23.93809509,0.259,0.239,0.082,0.03,1.325
Orange,50168,0.315787315,20.9174099,21.64734459,0.209,0.216,-0.034,0,1.265
Los Angeles,50169,0.244629428,21.704813,21.76575851,0.217,0.218,-0.003,0,1.277
Sonoma,50174,0.447939664,16.86604118,20.50667763,0.169,0.205,-0.178,0,1.203
Stanislaus,50179,0.385648936,21.56569862,21.04916191,0.216,0.21,0.025,0.025,1.263
Contra Costa,50180,0.379415751,19.15263176,21.41311836,0.192,0.214,-0.106,0,1.237
Los Angeles,50191,0.31220302,24.07070732,24.8824234,0.241,0.249,-0.033,0,1.317
Santa Cruz,50194,0.337919474,19.59087372,20.313591,0.196,0.203,-0.036,0,1.244
Alameda,50195,0.470058352,23.22453117,22.09062958,0.232,0.221,0.051,0.03,1.284
San Mateo,50197,0.4467507,19.10495567,20.88259125,0.191,0.209,-0.085,0,1.236
Los Angeles,50205,0.63226217,20.76497078,21.67288208,0.208,0.217,-0.042,0,1.262
Alameda,50211,0.434490383,22.55682182,22.19083405,0.226,0.222,0.016,0.016,1.282
San Diego,50222,0.352274299,21.00420761,22.87171745,0.21,0.229,-0.082,0,1.266
Orange,50224,0.359497547,19.73167801,20.96341324,0.197,0.21,-0.059,0,1.246
Butte,50225,0.524964333,19.5066185,21.42737007,0.195,0.214,-0.09,0,1.242
Orange,50226,0.256793678,22.31527519,22.01771545,0.223,0.22,0.014,0.014,1.283
San Francisco,50228,0.201273412,19.93448257,19.90459824,0.199,0.199,0.002,0.002,1.249
Orange,50230,0.310779423,22.47234726,22.70224953,0.225,0.227,-0.01,0,1.29
Los Angeles,50231,0.206677496,23.34346581,23.93906212,0.233,0.239,-0.025,0,1.305
San Luis Obispo,50232,0.493415505,17.48280144,18.10923576,0.175,0.181,-0.035,0,1.212
Los Angeles,50235,0.420595556,22.62247276,22.22338486,0.226,0.222,0.018,0.018,1.283
Ventura,50236,0.368891686,22.89021111,22.79942513,0.229,0.228,0.004,0.004,1.295
Los Angeles,50238,0.471066117,19.48365974,21.7890625,0.195,0.218,-0.106,0,1.242
Los Angeles,50239,0.448460758,24.29512787,22.80913353,0.243,0.228,0.065,0.03,1.303
Santa Cruz,50242,0.425733387,16.94325638,18.74527931,0.169,0.187,-0.096,0,1.204
Riverside,50243,0.248880371,19.96706963,20.4469738,0.2,0.204,-0.023,0,1.249
San Bernardino,50245,0.098346017,21.69606209,21.01259804,0.217,0.21,0.033,0.03,1.273
