userId,user,mobile,content
1836328652,前线娱乐,,#难听# 有人说汪峰的新歌《没有人在乎》难听，你们觉得呢？感觉以前汪峰老师出歌也没有过这个评价呀，怎么这首有张艺兴和GAI助阵的反倒难听了？ 前线娱乐的微博视频 
6470919752,伊丽莎白骨精啊,,#难听# 汪峰发新歌《没有人在乎》被吐槽rap太难听了，你们觉得汪峰新歌整体水平如何？ 汪峰新歌难听还是好听？ 
6489506656,爱豆放映室,iPhone XS Max,#难听#汪峰新歌三个人直接就是唱出来三首歌的感觉。汪峰前面那段rap听着是真的难听啊，汪峰老师咱们唱摇滚不香吗是不是跟陈学冬学的rap 
5770678627,家有奶啵,都听一博的Android,就他妈好笑可是看到新粉说好想哭骂的好难听我绷不住了啊 
5616387928,月為暮,HUAWEI P40 Pro 5G,永远年轻，永远清醒，永远骂人难听，永远生理期吃冰，永远作精，永远谁的话也不听 保定·涞源县 
2719098441,橙子很酸的,淇淇子的Android,#难听#刚洗完澡，看看微博，就点进来热搜看是啥，原来是峰哥的歌发行了！我还是挺喜欢怒放的生命这首歌！ 
6350867850,喆宝喆宝喆宝喆宝喆宝喆宝,和平精英超话,和平精英qq区蹲固玩 本人男 开麦 声音不难听 普通话二甲 技术不菜 脾气好 什么模式都行 不求上分只喜欢阴人打架 沉迷火力对决特种作战等 有无dd我 
5613275049,诺131477,荣耀8 美得与众不同,#难听#真的，我觉得盖和艺兴的可以单独拿出来听，要不咱就分开成三首歌吧……这样我就可以避免第一部分了 滁州·定远县 
5510631667,isummerboyi,OPPO智能手机,#难听#救命啊，我觉得除了汪峰老师的part剩下的都还行我真不是黑汪峰老师啊，发个歌好不容易上热搜了还因为难听 
7063687031,喻欣飓锋,OPPO R15x,差不多一个星期没跳舞，今天学舞怎么学怎么别扭有点怪我爸，说话那么难听，害我一个多小时静不下心来，浪费时间 
6381422021,半夏zylooog,Android,我哭了知否实红然后我弟一个小学生在家都要时不时哼一句知否知否 应是绿肥红瘦然后精准地做到了每一个字都跑调难听的要命 
5844327729,-野心玩家,,#难听#？？？难听这个热搜是在微博买房了吗一年能看到好多次啊 
5168153491,2021寂寞依旧如你,iPhone客户端,内涵说唱节目，不是rapper，好像也不喜欢rap，怎么老是硬要加呢？不能因为现在说唱🔥就跟风呀，因为本来歌就唱不好，再搞个四不像，就真的真的，实在是太难听了！ 
6438465939,季季季寒要加油,Android,#难听#恭喜汪峰老师成功抢占头条，不管难听还是好听，这么多年的热搜是终于登上去了 
6427686056,翠西Tracey,iPhone 12 Pro Max,听了一会儿汪峰老师的新歌，就感觉是一个便秘很严重的人在瞎哼哼。因为喜欢@章子怡 忍着听了一半，然后又开始头疼，就退出来了。汪老师很有才华，但这个歌真的#没有人在乎##难听# 
2255752172,李雯娅闪闪发光,iPhone客户端,猥琐男说话真有够难听的李雯娅闪闪发光的微博视频 
1498616780,在等人,iPhone客户端,#难听#汪峰和张艺兴、GAI合作的新歌直接被吐槽难听，说三个人直接就是唱出来三首歌的感觉，大家觉得呢？ 你觉得？ 
6621268384,有事没事都别来找我啊,红红真不错超话,难听也不知道啥歌也还没听但只要这个热搜出来了就知道有人发新歌了汪峰老师今天发的新歌还没听呢这rs咋一有人发新歌就上了 
6063447467,痛恨·,一陆燃起超话,难听在一月份的最后一天汪峰老师凭借实力登上热搜这次没有瓜了 舞台都留给你 
3295231225,荏苒而不留,iPhone客户端,#难听#u1s1 汪峰这次圆寸造型 针不戳 广州 
2880122455,妖妖Lawrence,魅族 17 Pro,#难听#恕我直言 现在的华语乐坛和20年前根本没法比 什么东西啊都 
3819532697,俩萱呀,荣耀20,在家能被我妈嫌弃到什么程度呢看直播因为主播的声音太难听而被我妈骂 
5094969684,我是你喜欢的猫么,Samsung Galaxy S8,#难听#Get不到这种曲风的点还是踏踏实实听汪老师别的歌吧 
6658753900,阿萱摘棉花,热巴宝贝的iPhone客户端,烦s个人 怎么对别人好别人就当成应该了一次次的，说难听了就是在得寸进尺 除了我爸妈我凭什么有义务无限的对人付出 艹 
1688249622,减肥瘦身瘦腿瘦脸瘦肚子产后减脂,,一语成谶#难听# 
6259524304,知名不具Yan,iPad,饭圈真实写照我：这首歌不好听网友：你知道他有多少优秀的作品吗？我：可这首歌就是难听啊网友：你知道他有多努力吗！我：再努力它也不好听啊·······网友：你居然说我们哥哥不好！他写歌那会儿你还不知道在哪呢！我：········· 
5275124927,把自己写成歌,iPhone客户端,#难听#您真的没必要迎合市场说唱让年轻人去玩好了我们摇滚到死不好么 汪峰老师啊如果你是为了养老婆养孩子那就算了因为没有人在乎 
3954180088,酥糖lry,iPhone客户端,哈哈哈哈哈哈哈，我的新偶像，支持新晋网红#难听# 
2695377883,游鱼论,,#难听#今日，汪峰的新歌《没有人在乎》终于登上了热搜头条，但汪峰万万没想到的是，竟然是因为太难听而被网友吐槽上的热搜更重要的是，这首新歌是汪峰跟张艺兴和gai合作，网友说这首歌除去汪峰rap这部分，就绝了！看MV，汪峰一出场的时候弹幕就刷了满屏难听，而到了张艺兴和gai出场，弹幕就变成了好听 ...全文
5856755084,AlwaysKrisWu-yyq,,看他们现在都信誓旦旦地说请这个会有效果请那个会有效果，真的是哪来的自信啊，下场就是潮/伙2没跑了，谁会去听长得又丑声音又难听的土哈喊麦啊，几首粗制滥造的歌每次都吹得天花乱坠，想文案比想歌的flow还长吧，再叫几个哈朋哈友宣传一下“这首太顶了”，蛤？别做梦了哈！ 
3462652410,连夜改名儿,iPhone客户端,不粉不黑啊，路人评价，bp 里js 唱歌也太难听了，嗓子像大破锣。要是演技不错的话，尽快转型吧，门面的确长得挺漂亮的，但唱歌真的感觉不太行。刚才看他们演唱会她solo那一段惊到我了，因为刺耳。 
3462652410,连夜改名儿,iPhone客户端,不粉不黑啊，路人评价，bp 里js 唱歌也太难听了，嗓子像大破锣。要是演技不错的话，尽快转型吧，门面的确长得挺漂亮的，但唱歌真的感觉不太行。刚才看他们演唱会她solo那一段惊到我了，因为刺耳。 
5293082289,那只虎斑猫,小米10 Pro,#难听#汪峰唱的真的难听，他不适合这种风格 
1923390687,科技头条,99英寸鸿蒙Android,溜了一天故宫，回来听了汪峰老师新歌《没有人在乎》，u1s1 是真的难听，说唱不太适合他，GAI张艺兴吃奶也带不动。另外汪峰老师不会打算上说唱节目当评委吧？ 
5176062631,羊闷鸡米饭,K30 至尊纪念版,没什么远大的抱负 对自我也没有高要求只是想当一个人生轨迹简单没有波折的普通人说难听点就是当咸鱼一辈子 
5639601058,风烟予然炊,难听超话,#难听#怎么每次不管谁出歌，必来难听热搜，真好，还带回收利用的 
2931578845,一颗特浓,Nian‘s iPhone 11,🆘0开麦后期修音还是大白嗓可不就是真的难听吗能不能别他妈硬夸了 美女靠脸还能多红十年 一开口路人都跑光了 
5203196371,我的滑板鞋庞麦郎,iPhone客户端,我觉得汪峰的新作《没有人在乎》还不错，不#难听# 分享一首我早期成功阻止大家哭泣的作品。约瑟翰庞麦郎《阻止你哭泣》阻止你哭泣（@网易云音乐） 
6456458991,成秀妍Vitality,Yolo。Android,为什么难听又冲上来了呢？！！我觉得张艺兴的part好听啊 汽水音绝了！！！ 
3858573436,普通用户泡泡糖,泡任达仁超话,难听这都晚上了难听居然还挂在高位上我汪峰哥不要面子的吗  哈哈哈哈 
1883348853,奔跑跌倒奔跑89,微博搜索,#难听#一坨屎，滚圈现代犬儒主义代表第一人，除了皮裤，还有逃跑计划。臧鸿飞，木马等人也在往这个方向靠 
6444095785,五毒毒,别碰有毒的iPhone XS,可少说两句吧，你老公不仅歌难听而且瓜难吃#垃圾话# 
6347280094,稠环芳香烃123,HUAWEI nova 3,#难听#点进来之前就猜可能是汪峰新歌，真的是欣赏不来 
1879192094,Wendy-楚敏,iPhone客户端,#帮汪峰上头条# 不容易啊 踢出那么多瓜就算了 今天竟将难听送上热搜 广州 
6192377774,逃跑愿晚,iPhone客户端,我的快乐好简单哈哈薄薄乐死我了yh几个男艺人两极分化严重 油的油死譬如摇大o4 直的直死譬如o3o6和笨比博博 在镜头前说话不太打草稿 沾点大男子主义 说好听点叫耿直、童言无忌、有凡间烟火气、有大无畏的踩组法外狂徒娱乐精神 说难听点叫...守护兔桃的微博视频 
3087637935,脑电波宇宙飞船2次方,HUAWEI Mate 30 5G,哈哈哈哈汪峰老师凭着#难听# 终于登上了热搜榜的“沸”这首歌它值得！ 
